===================> Part A Before Open Some app :

value			 time			Count PrimeNumber
2			    	0.0			       	1
25				    0.0			    	9
50			    	0.0			    	15
100			    	0.001				25
250			    	0.002				53
500			    	0.003				95
750			    	0.003				132
1000				0.004				168
2500				0.013				367
5000				0.054				669
7500				0.112				950
10000				0.251				1229
15000				0.483				1754
25000				1.346				2762
50000				5.415				5133
75000				12.289				7393
90000				18.24				8713
100000				22.084				9592
125000				37.96				11734
175000				65.823				15916
250000				131.769				22044
500000				522.933				41538
700000				1018.689			56543
850000				1490.405			67617
1000000				2867.822			78498

===================> Part B Before Open Some app:

value			    time			Count PrimeNumber
2				    0.0				    1
25				    0.0				    9
50				    0.0				    15
100				    0.0				    25
250				    0.0				    53
500				    0.001			    95
750				    0.0				    132
1000				0.0				    168
2500				0.002				367
5000				0.002				669
7500				0.003				950
10000				0.004				1229
15000				0.008				1754
25000				0.016				2762
50000				0.064				5133
75000				0.109				7393
90000				0.112				8713
100000				0.131				9592
125000				0.18				11734
175000				0.284				15916
250000				0.513				22044
500000				1.37				41538
700000				2.384				56543
850000				3.086				67617
1000000				4.21				78498

===================> Part C Before Open Some app:

value			   time			Count PrimeNumber
2				    0.0			    	1
25				    0.0			    	9
50				    0.0			    	15
100				    0.0			    	25
250				    0.0			    	53
500				    0.0			    	95
750				    0.006			    132
1000				0.0				    168
2500				0.016				367
5000				0.047				669
7500				0.138				950
10000				0.232				1229
15000				0.484				1754
25000				1.464				2762
50000				5.565				5133
75000				12.567				7393
90000				18.977				8713
100000				21.543				9592
125000				32.322				11734
175000				64.031				15916
250000				131.539				22044
500000				511.492				41538
700000				1456.668			56543
850000				1948.107			67617
1000000				2533.951			78498

===================> Part D Before Open Some app:

value			   time			Count PrimeNumber
2			    	0.0				    1
25				    0.0				    9
50				    0.0				    15
100				    0.0			    	25
250				    0.001				53
500				    0.003				95
750				    0.002				132
1000				0.003				168
2500				0.018				367
5000				0.041				669
7500				0.073				950
10000				0.129				1229
15000				0.337				1754
25000				0.809				2762
50000				3.54				5133
75000				7.327				7393
90000				10.561				8713
100000				13.102				9592
125000				20.587				11734
175000				40.268				15916
250000				83.489				22044
500000				355.015				41538
700000				658.06				56543
850000				979.06				67617
1000000				1440.071			78498


===================> Part A Afther Open Some app:

value			 time			Count PrimeNumber
2			    	0.0			    	1
25			    	0.0			    	9
50			    	0.0			    	15
100				    0.0				    25
250				    0.001				53
500			    	0.001				95
750				    0.002				132
1000				0.002				168
2500				0.013				367
5000				0.081				669
7500				0.201				950
10000				0.292				1229
15000				0.609				1754
25000				1.432				2762
50000				6.206				5133
75000				13.471				7393
90000				19.035				8713
100000				24.763				9592
125000				38.382				11734
175000				74.612				15916
250000				147.243				22044
500000				628.532				41538
700000				1190.894			56543
850000				1734.624			67617
1000000				2395.262			78498


===================> Part B Afther Open Some app:

value			    time			Count PrimeNumber
2			    	0.0			    	1
25			    	0.0			    	9
50			    	0.0				    15
100			    	0.0			    	25
250			    	0.0			    	53
500			    	0.0			    	95
750			    	0.001				132
1000				0.001				168
2500				0.001				367
5000				0.002				669
7500				0.002				950
10000				0.004				1229
